classic pop and rock,pop,0.638297872
pop,folk,0.68181818
classic pop and rock,folk,0.697297299
jazz and blues,soul and reggae,0.714285731
classical,jazz and blues,0.727272749
hip-hop,soul and reggae,0.731707321
classic pop and rock,punk,0.750000003
dance and electronica,hip-hop,0.775
jazz and blues,dance and electronica,0.777777791
pop,punk,0.78181818
metal,punk,0.793814433
classical,folk,0.8
metal,jazz and blues,0.800000001
pop,soul and reggae,0.810810812
metal,classic pop and rock,0.811428572
folk,dance and electronica,0.828571427
jazz and blues,hip-hop,0.828571429
jazz and blues,folk,0.830769231
punk,hip-hop,0.844155845
dance and electronica,soul and reggae,0.848484848
pop,dance and electronica,0.849315068
punk,dance and electronica,0.855072464
punk,soul and reggae,0.857142855
punk,folk,0.859813087
metal,pop,0.86
classic pop and rock,dance and electronica,0.863945579
classical,pop,0.865671642
pop,jazz and blues,0.867647059
punk,jazz and blues,0.875
pop,hip-hop,0.876543212
classical,hip-hop,0.885714286
folk,soul and reggae,0.887323945
classical,dance and electronica,0.888888896
metal,soul and reggae,0.901639337
metal,folk,0.907216495
classic pop and rock,classical,0.915492959
metal,hip-hop,0.926470588
classical,soul and reggae,0.928571403
classic pop and rock,hip-hop,0.929032258
classic pop and rock,jazz and blues,0.929577462
metal,dance and electronica,0.933333341
folk,hip-hop,0.935897437
classical,punk,0.9375
classic pop and rock,soul and reggae,0.939189188
metal,classical,0.962962963
